date,mineral,Flow,Quantity,Volume
2020-07-01,Lithium, import,37151354.0,92.35
2020-08-01,Copper, export,16133035.0,27.32
2020-08-01,Copper, import,49813175.0,87.7
2020-08-01,Graphite, export,20205.0,0.02
2020-08-01,Graphite, import,1962237.0,1.61
2020-08-01,Lithium, export,109207.0,0.72
2020-08-01,Lithium, import,78542215.0,142.45000000000002
2020-09-01,Copper, export,6881634.0,18.67
2020-09-01,Copper, import,97504864.0,178.63000000000002
2020-09-01,Graphite, export,37144.0,0.04
2020-09-01,Graphite, import,1696383.0,1.34
2020-09-01,Lithium, export,100975.0,0.55
2020-09-01,Lithium, import,61643146.0,136.85
2020-10-01,Copper, export,7547423.0,17.25
2020-10-01,Copper, import,9026938.0,41.77
2020-10-01,Graphite, export,13380.0,0.01
2020-10-01,Graphite, import,1334997.0,1.16
2020-10-01,Lithium, export,198632.0,0.26
2020-10-01,Lithium, import,66579724.0,136.6
2020-11-01,Copper, export,7772964.0,19.09
2020-11-01,Copper, import,58807038.0,134.25
2020-11-01,Graphite, export,32750.0,0.06
2020-11-01,Graphite, import,1754898.0,1.3
2020-11-01,Lithium, export,67673.0,0.5700000000000001
2020-11-01,Lithium, import,57290755.0,93.55
2020-12-01,Copper, export,5288677.0,25.54
2020-12-01,Copper, import,30247519.0,100.36
2020-12-01,Graphite, export,53711.0,0.03
2020-12-01,Graphite, import,788969.0,1.18
2020-12-01,Lithium, export,92246.0,0.66
2020-12-01,Lithium, import,59285992.0,105.18999999999998
2021-01-01,Copper, export,17438369.0,45.300000000000004
2021-01-01,Copper, import,59142393.0,166.19
2021-01-01,Graphite, export,31340.0,0.03
2021-01-01,Graphite, import,1428201.0,0.97
2021-01-01,Lithium, export,94276.0,0.6599999999999999
2021-01-01,Lithium, import,65094169.0,118.09
2021-02-01,Copper, export,5462718.0,24.220000000000002
2021-02-01,Copper, import,17712093.0,62.349999999999994
2021-02-01,Graphite, export,4293.0,0.030000000000000002
2021-02-01,Graphite, import,1122016.0,2.66
2021-02-01,Lithium, export,126023.0,1.48
2021-02-01,Lithium, import,52440006.0,123.43
2021-03-01,Copper, export,19017633.0,48.39
2021-03-01,Copper, import,30216260.0,120.25
2021-03-01,Graphite, export,75450.0,0.06
2021-03-01,Graphite, import,1674778.0,1.77
2021-03-01,Lithium, export,120315.0,1.82
2021-03-01,Lithium, import,59689934.0,145.81
2021-04-01,Copper, export,4672827.0,22.49
2021-04-01,Copper, import,94356887.0,307.14
2021-04-01,Graphite, export,16282.0,0.01
2021-04-01,Graphite, import,996156.0,2.72
2021-04-01,Lithium, export,281085.0,1.33
2021-04-01,Lithium, import,45921175.0,123.35000000000001
2021-05-01,Copper, export,3962027.0,19.52
2021-05-01,Copper, import,97918399.0,323.39000000000004
2021-05-01,Graphite, export,30163.0,0.01
2021-05-01,Graphite, import,2657735.0,2.96
2021-05-01,Lithium, export,144965.0,2.13
2021-05-01,Lithium, import,36039754.0,99.8
2021-06-01,Copper, export,4720753.0,28.18
2021-06-01,Copper, import,59255584.0,189.78
2021-06-01,Graphite, export,29470.0,0.02
2021-06-01,Graphite, import,5101944.0,1.88
2021-06-01,Lithium, export,54698.0,1.65
2021-06-01,Lithium, import,32529914.0,101.67999999999999
2021-07-01,Copper, export,15639342.0,45.51
2021-07-01,Copper, import,44901654.0,203.07999999999998
2021-07-01,Graphite, export,25507.0,0.04
2021-07-01,Graphite, import,922699.0,1.62
2021-07-01,Lithium, export,168633.0,2.51
2021-07-01,Lithium, import,39374615.0,109.74000000000001
2021-08-01,Copper, export,3523749.0,19.82
2021-08-01,Copper, import,140242596.0,439.92
2021-08-01,Graphite, export,25344.0,0.030000000000000002
2021-08-01,Graphite, import,1235110.0,2.35
2021-08-01,Lithium, export,386902.0,2.32
2021-08-01,Lithium, import,51933237.0,163.37
2021-09-01,Copper, export,3002109.0,17.93
2021-09-01,Copper, import,116720452.0,361.9
2021-09-01,Graphite, export,3628.0,0.02
2021-09-01,Graphite, import,1286033.0,2.23
2021-09-01,Lithium, export,59917.0,2.42
2021-09-01,Lithium, import,66876876.0,172.95
2021-10-01,Copper, export,14698756.0,34.57
2021-10-01,Copper, import,94581412.0,289.49
2021-10-01,Graphite, export,27748.0,0.02
2021-10-01,Graphite, import,1943747.0,3.3
2021-10-01,Lithium, export,436427.0,3.1599999999999997
2021-10-01,Lithium, import,78751672.0,184.69
2021-11-01,Copper, export,2931390.0,18.81
2021-11-01,Copper, import,153874836.0,513.87
2021-11-01,Graphite, export,37153.0,0.03
2021-11-01,Graphite, import,837530.0,0.78
2021-11-01,Lithium, export,453374.0,3.15
2021-11-01,Lithium, import,61948305.0,154.79
2021-12-01,Copper, export,6480400.0,33.72
2021-12-01,Copper, import,84298525.0,262.04
2021-12-01,Graphite, export,6299.0,0.08
2021-12-01,Graphite, import,2138858.0,2.71
2021-12-01,Lithium, export,80076.0,2.82
2021-12-01,Lithium, import,81412018.0,220.07
2022-01-01,Copper, export,6353448.0,32.4
2022-01-01,Copper, import,117482636.0,337.15
2022-01-01,Graphite, export,4256.0,0.06
2022-01-01,Graphite, import,1039084.0,1.05
2022-01-01,Lithium, export,128622.0,2.48
2022-01-01,Lithium, import,71666063.0,197.43
2022-02-01,Copper, export,5284111.0,33.14
2022-02-01,Copper, import,106058442.0,415.51
2022-02-01,Graphite, export,3613.0,0.14
2022-02-01,Graphite, import,1270366.0,1.2
2022-02-01,Lithium, export,391878.0,2.12
2022-02-01,Lithium, import,83362567.0,195.38
2022-03-01,Copper, export,18552349.0,55.15
2022-03-01,Copper, import,29066547.0,111.52
2022-03-01,Graphite, export,21681.0,0.15
2022-03-01,Graphite, import,1193737.0,1.05
